[2025-04-15 12:11:06] User: alice, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 12:11:06] User: alice, Action: KEY, Details: Verified existing signed public key for alice
[2025-04-15 12:11:29] User: alice, Action: SIGN, Details: Signed file /Users/milanaivankovic/Downloads/pj2/predavanja/8/08_kolekcije.pdf for alice
[2025-04-15 12:11:29] User: alice, Action: UPLOAD, Details: Uploaded file: 08_kolekcije.pdf
[2025-04-15 12:11:41] User: alice, Action: KEY, Details: Verified existing signed public key for alice
[2025-04-15 12:11:42] User: alice, Action: SIGN, Details: Signed file users/alice/08_kolekcije.pdf.shared.enc for alice
[2025-04-15 12:11:42] User: alice, Action: SHARE, Details: Shared file: 08_kolekcije.pdf with bob
[2025-04-15 12:12:26] User: bob, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 12:12:26] User: bob, Action: KEY, Details: Verified existing signed public key for bob
[2025-04-15 12:12:33] User: bob, Action: DEBUG, Details: Parsed file 08_kolekcije_pdf_alice_to_bob.enc: sender=alice, recipient=bob.enc
[2025-04-15 12:12:37] User: bob, Action: DOWNLOAD, Details: Downloaded file: 08_kolekcije_pdf_alice_to_bob.enc
[2025-04-15 14:15:58] User: bob, Action: LOGIN_ATTEMPT, Details: SUCCESS
